search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep
Zenith General Insurance,com.cyberspace.quantum_zenith,Quantum Zenith,Cyberspace,"10,000+",68.0,40,3.7076924,Finance,False
Cornerstone Insurance,com.csod.learning,Cornerstone OnDemand,"Cornerstone OnDemand, Inc.","1,000,000+",9225.0,29,4.6792455,Education,False
Salam Takaful Nigeria,com.xfaceline.wagas,Salam-Group Chat Rooms,XFaceLine Limited,"100,000+",9888.0,27,4.4651165,Social,False
NEM Insurance,app.kids360.parent,Kids360: Parental Control App,MINDCARE LAB LTD,"10,000,000+",287734.0,25,4.51,Parenting,False
travel insurance Nigeria,com.unitednigeria.booking,United Nigeria Airlines,Videcom,"50,000+",72.0,23,4.0923076,Travel & Local,False
Casava insurance,com.finceptive.casa,Casa Bank,Casa Bank,"5,000+",34.0,22,3.6764705,Finance,False
Consolidated Hallmark Insurance,com.covenantmfb.mobileapp,CovenantMFB - Edge Banking,Covenant Microfinance Bank,"10,000+",56.0,21,3.6964285,Finance,False
Cornerstone Takaful,com.edcast,Cornerstone LearningExperience,EdCast Inc.,"500,000+",3694.0,18,3.580645,Education,False
Prestige Assurance,ng.carbontech.prestigemfb,Prestige Mobile,CarbonTech Limited,"1,000+",21.0,17,3.7142856,Finance,False
Nigerian Agricultural Insurance,com.lagetronix.fgbmfi,FGBMFI Nigeria,Lagetronix,"5,000+",31.0,17,4.451613,Events,False
Noor Takaful,ps.goldendeveloper.alnoor,Noor Play,MITHAQ MEDIA PRODUCTION,"5,000,000+",30497.0,14,3.5757575,Entertainment,False
Wapic Insurance,com.marshmallow.marshmallow,Marshmallow Insurance,Marshmallow Insurance,"100,000+",12183.0,10,4.6458335,Finance,False
Hygeia HMO,com.phillipshmo,Phillips HMO Mobile,Phillips Health Management Service,"5,000+",28.0,9,3.4285715,Health & Fitness,False
THT Nigeria health,com.tht.apprelease,THT Mobile,Health Insurance,"5,000+",14.0,9,2.7857144,Health & Fitness,False
Custodian Insurance Nigeria,com.guardian.guardian_news,The Guardian Nigeria,Guardian Newspapers Limited,"1,000+",18.0,8,4.6666665,News & Magazines,False
AIICO Multishield,com.minimax.ai,MiniMax - Your AI Agent,MiniMax AI,"1,000,000+",1455.0,7,4.2173915,Productivity,False
Regency Alliance Insurance,com.regentmobile.regentmobilemobile,RegentMFB,RegentMFB,"1,000+",19.0,7,4.0526314,Finance,False
Nigerian Agricultural Insurance,com.BanqueMisr.MobileBanking,BM Online,Banque Misr,"5,000,000+",267431.0,7,4.448276,Finance,False
Heirs Life Assurance,com.ipru.iciciprulife.customer.release,ICICI Prudential Life App,ICICI Prudential Life Insurance,"1,000,000+",95139.0,7,4.7222223,Finance,False
Songhai Health Trust,com.songhai.hmo,Songhai HMO,LionTech Systems,500+,8.0,6,4.5,Health & Fitness,False
Lasaco Assurance,ng.adspace.lasaamobile,LASAA Mobile,AdspaceMedia Technologies,"5,000+",36.0,6,4.7222223,Tools,False
International Energy Insurance,com.quickteller.energy,Quickteller Energy,Interswitch Limited,100+,8.0,6,4.5,Productivity,False
NHIA Nigeria,gh.gov.nhis.android.nma,MyNHIS,OeSD Int Software,"100,000+",960.0,6,3.7142856,Health & Fitness,False
African Alliance Insurance,com.phatisa.irrapp,Africa Private Equity News,Africa Private Equity News,"10,000+",188.0,5,4.8235292,Business,False
Noor Takaful,com.noor.dev,Noor Health Member Hub,NoorICT,500+,5.0,5,5.0,Health & Fitness,False
Bluewave insurance,com.catinaboxgames.bluedefense2,Blue Defense: Second Wave!,Cat in a Box Software,"100,000+",739.0,5,4.0,Arcade,False
car insurance Nigeria,com.icarslist.nigeriacarmart,Nigeria Car Mart,iCarsList Network,"5,000+",13.0,5,4.4615383,Auto & Vehicles,False
car insurance Nigeria,com.sk.nigeria.used.cars,Used Cars in Nigeria,Shibly Khan,"1,000+",71.0,5,4.517857,Auto & Vehicles,False
Songhai Health Trust,com.innodiets.cardi,Cardi Health: Heart Monitoring,Inno Diets UAB,"50,000+",717.0,4,4.1666665,Health & Fitness,False
Police Health Maintenance,com.app.policehmo,Police HMO,Solaris InfoTech NG,"1,000+",9.0,4,4.375,Health & Fitness,False
Sterling Health HMO,com.sterlingmf.sterling,Sterling,sterlingmf,"5,000+",47.0,4,4.1,Finance,False
Curacel,com.corcel.app,Corcel,Taostats,"10,000+",145.0,4,4.285714,Productivity,False
travel insurance Nigeria,ru.tripinsurance.android.app,Tripinsurance:travel insurance,Tripinsurance,"50,000+",477.0,4,3.3333333,Travel & Local,False
Integrated Healthcare Nigeria,com.ihms.app,IHMS Mobile,Health Insurance,"1,000+",8.0,3,4.1666665,Health & Fitness,False
Hallmark HMO,com.prohealth.appstore,Prohealth Mobile,Health Insurance,"5,000+",10.0,3,4.2,Health & Fitness,False
International Energy Insurance,com.originmobileapp,Origin Energy Gas Internet LPG,Origin Energy,"1,000,000+",14367.0,3,4.1666665,House & Home,False
Great Nigeria Insurance,dk.youngmoney.youngmoney,Young Money,&money,"100,000+",775.0,3,4.2727275,Finance,False
