search_term,app_id,title,developer,installs,n_ratings,n_reviews,score,genre,keep,role
car insurance Nigeria,com.sk.nigeria.used.cars,Used Cars in Nigeria,Shibly Khan,"1,000+",71.0,5,4.517857,Auto & Vehicles,False,not_ng_insurance
Mutual Benefits Assurance,com.mutualbenefitsmfb.mutualbenefitsmfbmobile,Mutual Benefits MFB,Mutual Benefits MFB,"1,000+",8.0,4,3.375,Finance,False,not_ng_insurance
Songhai Health Trust,com.innodiets.cardi,Cardi Health: Heart Monitoring,Inno Diets UAB,"50,000+",717.0,4,4.1666665,Health & Fitness,False,not_ng_insurance
Police Health Maintenance,com.app.policehmo,Police HMO,Solaris InfoTech NG,"1,000+",9.0,4,4.375,Health & Fitness,False,not_ng_insurance
Sterling Health HMO,com.sterlingmf.sterling,Sterling,sterlingmf,"5,000+",47.0,4,4.1,Finance,False,not_ng_insurance
Curacel,com.corcel.app,Corcel,Taostats,"10,000+",145.0,4,4.285714,Productivity,False,not_ng_insurance
travel insurance Nigeria,ru.tripinsurance.android.app,Tripinsurance:travel insurance,Tripinsurance,"50,000+",477.0,4,3.3333333,Travel & Local,False,not_ng_insurance
Coronation Insurance,com.coronationinsurance.android,Retail Agency Mobile,Coronation Insurance,"1,000+",6.0,3,4.3333335,Finance,False,agent_or_provider
Veritas Kapital Assurance,com.iw.veritasins,Veritas Mutual Fund,Clarion FinTech Pvt. Ltd.,"10,000+",58.0,3,4.571429,Finance,False,not_ng_insurance
KBL Insurance,com.lcode.kblmobileplus,KBL MOBILE Plus,KARNATAKA BANK,"5,000,000+",221179.0,3,3.857143,Finance,False,not_ng_insurance
Integrated Healthcare Nigeria,com.ihms.app,IHMS Mobile,Health Insurance,"1,000+",8.0,3,4.1666665,Health & Fitness,False,not_ng_insurance
Hallmark HMO,com.prohealth.appstore,Prohealth Mobile,Health Insurance,"5,000+",10.0,3,4.2,Health & Fitness,False,not_ng_insurance
International Energy Insurance,com.originmobileapp,Origin Energy Gas Internet LPG,Origin Energy,"1,000,000+",14367.0,3,4.1666665,House & Home,False,not_ng_insurance
Great Nigeria Insurance,dk.youngmoney.youngmoney,Young Money,&money,"100,000+",775.0,3,4.2727275,Finance,False,not_ng_insurance
MyCoverGenius,com.shipafrika.roro,myRORO,Ship Afrika LLC,"1,000+",21.0,3,4.5454545,Business,False,not_ng_insurance
Reliance Health HMO,com.reliancehmo.rhmo_doctor,RelianceCare for Doctors,Reliance Health,"1,000+",11.0,2,4.181818,Health & Fitness,False,agent_or_provider
Oceanic Health Management,com.oceanic.dev,Oceanic Health,Oceanic Dev,"1,000+",7.0,2,2.6,Health & Fitness,False,not_ng_insurance
Redcare HMO,shop.shop_apotheke.com.shopapotheke,Shop Apotheke: E-Rezept App,Shop-Apotheke B.V.,"5,000,000+",478910.0,2,4.7777777,Medical,False,not_ng_insurance
Roding Healthcare,com.who_phc,Primary Health Care,World Health Organization,"10,000+",51.0,2,4.125,Medical,False,not_ng_insurance
